Investigation_number,Investigation_title,country,Date Instituted,Staff Conference,Preliminary Determination,pub_no,hearing_date,Final Determination,pub_no
731-TA-1489,Common Alloy Aluminum Sheet,South Africa,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1490,Common Alloy Aluminum Sheet,Spain,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1491,Common Alloy Aluminum Sheet,Taiwan,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
731-TA-1492,Common Alloy Aluminum Sheet,Turkey,03-09-20,03-30-20,Affirmative,5049,N/A,N/A,N/A
701-TA-643,Small Vertical Shaft Engines,China,03-20-20,Via written submitions,Affirmative,5054,N/A,N/A,N/A
731-TA-1493,Small Vertical Shaft Engines,China,03-20-20,Via written submitions,Affirmative,5054,N/A,N/A,N/A
701-TA-644,Non-Refillable Steel Cylinders,China,03-30-20,Via written submitions,Affirmative,5057,N/A,N/A,N/A
731-TA-1494,Non-Refillable Steel Cylinders,China,03-30-20,Via written submitions,Affirmative,5057,N/A,N/A,N/A
701-TA-645,Mattresses,China,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1495,Mattresses,Cambodia,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1496,Mattresses,Indonesia,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1497,Mattresses,Malaysia,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1498,Mattresses,Serbia,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1499,Mattresses,Thailand,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1500,Mattresses,Turkey,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
731-TA-1501,Mattresses,Vietnam,04-01-20,Via written submitions,Affirmative,5059,N/A,N/A,N/A
701-TA-646,Prestressed Concrete Steel Wire Strand,Turkey,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1502,Prestressed Concrete Steel Wire Strand,Argentina,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1503,Prestressed Concrete Steel Wire Strand,Colombia,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1504,Prestressed Concrete Steel Wire Strand,Egypt,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1505,Prestressed Concrete Steel Wire Strand,Indonesia,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1506,Prestressed Concrete Steel Wire Strand,Italy,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1508,Prestressed Concrete Steel Wire Strand,Netherlands,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
731-TA-1509,Prestressed Concrete Steel Wire Strand,Saudi Arabia,04-17-20,Via written submitions,Affirmative,5062,N/A,N/A,N/A
